,C_Tmax,C_Tmin,C_srad
M0_Tmax,1.0,0.48109379655261686,0.31509245024495075
M0_Tmin,0.48109379655261686,1.0,-0.5471405232639854
M0_srad,0.31509245024495075,-0.5471405232639854,0.9999999999999998
M1_Tmax,0.6548409907941607,0.32540017738489124,0.20076655616867126
M1_Tmin,0.5478230747443059,0.679786047818036,-0.19784869215525916
M1_srad,-0.06354734164442713,-0.3630083422720804,0.3976250973155349
A_Tmax,0.6374420846826034,0.026666216880512662,0.014503535674255167
A_Tmin,0.2647213759658164,0.5688268434441095,0.029967817628068487
A_srad,-0.182597605736006,-0.037287717243117295,0.43475860319203574
B_Tmax,0.7556373317140016,0.0,0.0
B_Tmin,0.15434718778006595,0.67112220140525,0.0
B_srad,0.47577491806009714,-0.609694881541968,0.4515529891438429
