,bw1,bw2,bw3,bw4,bw5,bw6,bw7,bw8,bw9,bw10,bw11,bw12,bw13,bw14,bw15,bw16,bw17,bw18,bw19,bw20,bw21,bw22,bw23,bw24,bw25,bw26
P000,0.7495516269536254,0.7073992484125956,0.7385234899328859,0.7367991290146979,0.7608473711077081,0.7889908256880734,0.7531800391389433,0.8437635339974014,0.7684463107378524,0.821481956011104,0.8217576187101346,0.768798221524781,0.8060799555802332,0.7795169342868709,0.795700201924219,0.7917837548507962,0.820126582278481,0.8466749463701028,0.8636862588564016,0.8804552201880257,0.864403374849337,0.8542092357989375,0.8564848738616142,0.8191501164983912,0.7326550625153224,0.7721235845099959
P001,0.2504483730463746,0.2926007515874044,0.26147651006711414,0.2632008709853021,0.23915262889229194,0.21100917431192656,0.24681996086105673,0.15623646600259855,0.2315536892621476,0.17851804398889604,0.17824238128986536,0.23120177847521906,0.19392004441976685,0.22048306571312914,0.20429979807578103,0.20821624514920378,0.179873417721519,0.15332505362989723,0.1363137411435984,0.11954477981197431,0.13559662515066295,0.14579076420106252,0.1435151261383858,0.1808498835016088,0.2673449374846776,0.22787641549000415
P010,0.5707049387927395,0.5936222403924775,0.5339159384103205,0.5076142131979695,0.5113035113035113,0.6483825597749648,0.535063752276867,0.5787444933920705,0.5477218225419664,0.594896331738437,0.5712713263621354,0.4389782403027436,0.4922779922779923,0.37927350427350426,0.5838178294573644,0.527437641723356,0.5014436958614052,0.48695652173913045,0.5125887669464171,0.5062305295950156,0.5581245985870263,0.5879332477535302,0.45,0.5377049180327869,0.5654450261780105,0.5375986705442459
P011,0.42929506120726046,0.40637775960752254,0.4660840615896795,0.4923857868020305,0.48869648869648874,0.35161744022503516,0.464936247723133,0.42125550660792954,0.45227817745803356,0.40510366826156297,0.4287286736378646,0.5610217596972564,0.5077220077220077,0.6207264957264957,0.4161821705426356,0.47256235827664395,0.49855630413859475,0.5130434782608695,0.4874112330535829,0.4937694704049844,0.44187540141297366,0.4120667522464698,0.55,0.46229508196721314,0.4345549738219895,0.4624013294557541
P100,0.812360053739364,0.9191114836546521,0.8271812080536913,0.7803938356164384,0.8970780636720453,0.8610074626865671,0.902992277992278,0.8479437229437229,0.8871817383669885,0.8830166270783848,0.8777777777777778,0.7869709938183548,0.6833586241780476,0.8424760946149975,0.8823811809889582,0.6896551724137931,0.733142037302726,0.8102150537634408,0.9194277108433735,0.8744740532959326,0.8850498338870432,0.9100062932662052,0.8972257250945775,0.9250281848928974,0.8684089867033471,0.7634543178973717
P101,0.18763994626063596,0.08088851634534788,0.17281879194630867,0.21960616438356162,0.10292193632795466,0.13899253731343286,0.09700772200772201,0.1520562770562771,0.11281826163301145,0.1169833729216152,0.12222222222222223,0.21302900618164522,0.3166413758219524,0.1575239053850025,0.11761881901104176,0.31034482758620685,0.266857962697274,0.18978494623655917,0.08057228915662651,0.12552594670406736,0.11495016611295683,0.08999370673379481,0.10277427490542246,0.0749718151071026,0.1315910132966529,0.23654568210262827
P110,0.589824120603015,0.6044107512060648,0.655700510493477,0.586577868852459,0.6166294642857143,0.7482014388489209,0.6086118251928021,0.6945454545454546,0.8302611367127496,0.6884939195509823,0.38393322900365157,0.5084269662921348,0.393520203858755,0.4421245421245421,0.502092050209205,0.5052154195011338,0.5442775763852926,0.5815899581589958,0.5980036297640653,0.5561181434599156,0.7474541751527495,0.5615023474178403,0.6748695003728561,0.5958062183658713,0.6764061358655953,0.5521292217327459
P111,0.41017587939698497,0.3955892487939352,0.344299489506523,0.413422131147541,0.3833705357142857,0.2517985611510791,0.3913881748071979,0.3054545454545454,0.1697388632872504,0.31150608044901773,0.6160667709963484,0.4915730337078652,0.6064797961412449,0.5578754578754579,0.497907949790795,0.4947845804988662,0.4557224236147074,0.41841004184100417,0.4019963702359347,0.4438818565400844,0.2525458248472505,0.43849765258215967,0.3251304996271439,0.40419378163412867,0.3235938641344047,0.4478707782672541
alpha1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9639001349527665,1.0,1.0,1.0,1.0,1.0,1.0,0.9815147625160462,1.0,1.0,0.9356105221829604,1.0,1.0,1.0,1.0,1.0,0.829112426035503
alpha2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03609986504723347,0.0,0.0,0.0,0.0,0.0,0.0,0.01848523748395379,0.0,0.0,0.06438947781703966,0.0,0.0,0.0,0.0,0.0,0.17088757396449705
beta1,12.954656280909996,14.782117442149787,15.877335453878148,15.251996378451784,19.001641751901392,16.19516057233705,21.983091712133024,15.087985840707969,15.717872276932258,14.306933846692285,12.339590674979673,13.14534815813118,13.494800674963084,13.567158894645946,11.183380440927078,11.049558214450071,13.008080041852002,12.32062094531974,16.395263946087606,13.654112463281539,13.43847905652705,15.24469578200821,17.39239130434783,17.859286616161615,12.04166368057333,8.986996859834502
beta2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,89.41794392523376,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,101.59000000000005,-999.0,-999.0,92.11457317073169,-999.0,-999.0,-999.0,-999.0,-999.0,44.107146814404516
