YEAR,season_tavg
1993,15.926304347826088
2013,16.086141304347827
2005,16.18548913043478
1992,16.41994565217391
1996,16.47059782608696
2001,16.96586956521739
1997,17.290869565217392
1999,17.4375
1998,17.45375
2008,17.479565217391304
2014,17.488532608695653
2010,17.64728260869565
2007,17.790978260869565
1994,17.829728260869565
2009,18.070054347826087
2000,18.179021739130434
2004,18.19054347826087
2006,18.219239130434783
2018,18.22489130434783
2003,18.2925
2002,18.415869565217392
2011,18.61820652173913
1995,18.670652173913044
1991,18.93228260869565
2020,19.054728260869567
2019,19.08320652173913
2016,19.247771739130435
2015,19.679402173913044
2017,19.753152173913044
2012,19.862554347826087
